idx,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
20,0,20,0.009488819945701514,0.008876742823458215,0.016589211773678617,0.019059366445043604,-0.005948242772088682,0.010882588016639319,0.03442258945432531,0.03918462749155258,0.00933977168344427,0.037715111203020145,0.030839576064482985,0.07618945943001049,0.7463532900886889,0.2919776354338761
21,0,21,0.010435809245062332,0.01155622171918558,0.015342147580423337,0.018548031576785813,-0.004062355786079801,0.011660548682960105,0.036946425582871006,0.044504531304625235,0.002477543308555507,0.046072927775751844,0.02874264958407582,0.0806135698381756,0.7322828590702776,0.308676871241659
22,0,22,0.0104743043610414,0.011432737331586557,0.01386927413566384,0.016220246031043484,-0.004549104270571665,0.011685974700583662,0.034010974485507425,0.040110147515678575,0.0020238968468796626,0.04676857241945722,0.027656770605174148,0.07226257607195792,0.7413227152278238,0.2913236170049986
23,0,23,0.010597716584684367,0.010787113531721326,0.01250650619609608,0.014933328259743636,-0.004939932310204396,0.012162169104211456,0.03333152001429263,0.04010382871443518,0.0008775919888407649,0.045472003606521025,0.025372210942271406,0.06205928874806658,0.7298223996703204,0.2884813878212611
24,0,24,0.010388961384187531,0.010726352654388198,0.011331603102921464,0.01355055953500901,-0.004945338429941999,0.010429528176811958,0.031382603812650546,0.03473644355515388,-0.0023135007372658105,0.040509112488110496,0.025089567998407638,0.05814796261847849,0.7098454765589939,0.28166474801713937
25,0,25,0.00982350287102814,0.011041573530183292,0.010498294513684855,0.012564116440772353,-0.005150493556630023,0.00934957478915541,0.029679161753439456,0.03194619648462601,-0.0032970714813575124,0.03800268860734043,0.02835393336266164,0.05481332162614636,0.712188032150854,0.26857396157158897
26,0,26,0.00955464759830968,0.01091921831943893,0.009354663022375224,0.011770368694755822,-0.0038933225425912097,0.010402770389505385,0.029464592715516557,0.027837340178317647,-0.006611370197461625,0.03377473780788765,0.027043018524431965,0.05601145231295073,0.6995035044086486,0.27282247950153443
27,0,27,0.008740719847315993,0.011681299817743534,0.008513985184303189,0.010984195092404439,-0.0033091210354216772,0.011572627824080048,0.028660754309244585,0.02852034385867514,-0.005193793519146489,0.03373827110823124,0.024406197745217167,0.0581045975394413,0.6888585933364022,0.27172550290380876
28,0,28,0.0077354559097923,0.011253674775529878,0.00828370543748878,0.010695100017013416,-0.0037091462633468144,0.010584619598177669,0.02473243152092022,0.027944348109091265,-0.004486886279370236,0.02941214389542878,0.022647029398604166,0.053826328841471066,0.6880079721984447,0.25543481687072467
29,0,29,0.00741352700206279,0.011730861948942954,0.007759003827664591,0.010446775534822527,-0.0024638364640094867,0.011769811826429858,0.026131941266393583,0.027890261704280165,-0.005329683913431805,0.03094559703913458,0.020311109884709248,0.0517860119562894,0.7038014121678194,0.26088995355265276
30,0,30,0.00696302171249832,0.011772863486629037,0.007554536554800709,0.009972493486097524,-0.0031274669663623775,0.01411024999751425,0.021860955848966964,0.02874234368941713,-0.005392697860695996,0.037172245123583254,0.0260297997449881,0.05250772027241108,0.7110500453354983,0.26809814092629414
